Age_Ma,C. wuellerstorfi13C,Al_Area,Si_Area,P_Area,S_Area,Cl_Area,K_Area,Ca_Area,Ti_Area,Cr_Area,Mn_Area,Fe_Area,Rh_Area,Cu_Area,Zn_Area,Ga_Area,Br_Area,Rb_Area,Sr_Area,Y_Area,Zr_Area,Nb_Area,Mo_Area,Pb_Area,Bi_Area,Ag_Area,Cd_Area,Sn_Area,Te_Area,Ba_Area,T_Area
4.959,0.308,2227,40314,-3548,-609,59004,16863,2896899,7711,-36,7932,99401,49884,678,831,95,3775,2249,126933,2020,5622,-1944,-925,590,284,1190537,2469,15348,4044,21153,166516
4.962,0.102,2232,39164,-3403,-453,61918,16788,2963725,7831,587,8736,98346,51061,1221,1255,74,3859,2355,132576,1915,5907,-1204,-695,574,246,1196846,3443,16520,3240,19196,164361
4.965,0.225,2460,42503,-3589,-391,60889,17421,2973141,7982,558,9481,106073,52263,565,763,129,3964,2214,130691,1732,6166,-1309,-540,461,180,1202953,2327,15506,3092,18694,176439
4.968,0.167,2321,38391,-3332,6222,53408,17444,2656833,8008,235,6947,129829,49812,45051,1980,-407,4979,2441,124760,809,5764,976,3323,10837,-93,1207928,2838,17039,3632,22794,195993
4.971,-0.09,2907,48466,-3480,-592,58266,21288,2841784,8475,624,9537,121171,51408,962,898,172,4066,2632,128719,1887,6328,-2037,-971,881,343,1212665,2912,16849,3232,22255,202307
4.973,-0.071,2791,47269,-3415,-201,61669,20453,2888484,8191,284,10425,121999,52031,1277,1028,78,3958,2441,129884,1930,6053,-2289,-795,703,267,1217153,2437,17097,3302,24547,200703
4.976,0.0,2744,45046,-3276,-216,61012,18969,2801995,7612,595,9380,111835,48659,1199,895,109,4045,2528,126530,1620,5851,-1494,-633,649,191,1192835,2755,16413,3541,19973,186206
4.976,-0.019,2744,45046,-3276,-216,61012,18969,2801995,7612,595,9380,111835,48659,1199,895,109,4045,2528,126530,1620,5851,-1494,-633,649,191,1192835,2755,16413,3541,19973,186206
4.981,0.003,3076,64484,-2969,56,54611,42100,2551022,7447,1175,10181,111300,48589,5874,948,4,3480,4175,112431,1930,6453,345,476,1062,250,1183479,2453,16079,3564,16491,228407
4.982,0.077,4142,80053,-2490,-277,52093,53949,2394733,8228,271,10434,120314,48331,3944,938,64,3611,4959,113625,2371,7267,215,680,644,210,1181937,2519,16235,3678,17516,266686
4.985,0.015,7519,154933,-561,10,26780,116544,674385,9948,-37,7634,163157,34847,4807,1570,249,3711,13860,62470,3384,12068,11,169,1550,188,1215067,2485,18659,4664,22418,452101
4.988,0.085,3605,71558,-2164,970,42024,46080,1937820,7103,892,7152,129159,43453,24489,2145,-18,3583,4095,124614,1700,6710,831,920,1656,131,1197124,2539,14105,3707,17461,257505
4.992,0.164,2660,43593,-3364,-893,56550,18522,2734843,7837,1104,7343,107190,50327,668,854,126,3990,2348,132876,1897,5811,-2100,-1661,274,354,1198562,3225,15232,2149,17380,179802
4.997,-0.102,2879,45810,-3385,-535,62774,18529,2676172,8192,405,7952,126276,51116,611,961,163,4020,2725,125045,1753,6199,-845,-1130,476,210,1204653,2453,16034,3070,23906,201686
5.001,-0.005,2884,47279,-3434,-482,64277,18803,2890145,8659,420,9201,118689,53753,592,951,99,4152,2475,125362,1772,5666,-1674,-1622,389,358,1201344,2429,16003,4139,20210,196314
5.006,0.219,2753,45159,-3587,-879,61940,18746,2952247,7422,331,9297,110582,50275,530,816,101,3745,1985,127365,1822,6093,-1742,-1176,334,236,1189754,2616,15665,3342,15716,184662
5.01,0.026,2506,45937,-3309,-804,60013,19884,2774292,8535,340,9639,115963,49888,456,860,123,3651,2270,123516,1647,6148,-1394,-1570,430,376,1167197,2958,15895,3345,18126,192825
5.015,-0.182,2517,44025,-2904,-628,58041,18913,2430234,8529,680,6536,116229,49599,539,889,124,3307,2289,112811,1543,6062,-1721,-1833,470,248,1166958,2572,15568,3046,18915,190213
5.019,0.356,2504,42619,-3223,-735,57817,17307,2504406,7666,721,7574,108172,47588,542,806,125,3545,2200,112385,1928,5144,-1793,-1713,533,198,1189462,2195,16125,3318,20597,178268
5.024,0.256,1920,36827,-3796,-804,57765,13503,2750661,6236,1074,9052,87098,48566,641,729,198,3277,1687,112165,1461,5086,-2571,-2476,505,363,1268679,2081,16456,3034,14278,145584
5.028,0.156,2271,42326,-4013,-1323,57894,13369,3007136,6653,395,9657,94040,53884,487,748,125,3584,1935,122600,954,5918,-2013,-2211,528,198,1262087,2088,16900,3265,13604,158659
5.033,0.132,2665,42578,-3833,-884,58276,15645,2921555,7978,186,10661,110646,48939,535,858,152,3827,2390,119184,1730,5761,-1761,-1258,553,327,1282475,2138,16589,2953,18501,179512
5.036,0.05,2769,42985,-3431,-1019,54270,14207,2788422,8694,53,9587,106601,46210,448,846,165,3384,2246,114912,1578,5881,-233,-760,300,179,1309157,2404,15222,3978,21170,175256
5.039,0.237,2790,45728,-3284,-589,53650,18975,2761626,8356,1252,9880,107910,51286,499,957,179,3665,2474,113921,1510,5554,-922,-1996,411,177,1275870,2021,16388,3005,18857,183759
5.044,-0.015,3310,48973,-3182,-326,57283,19796,2939069,8056,662,11308,119021,54675,521,936,171,4113,2421,117868,1491,6615,-1149,-1323,495,285,1297885,1984,17438,3591,20926,199156
5.048,-0.171,3085,47814,-3333,-532,56280,20041,2972701,9023,1242,10195,113075,53686,585,977,214,3585,2531,117215,1729,5288,-1313,-1744,438,341,1287740,1950,16585,3726,19175,193038
5.053,-0.238,2708,49166,-2943,-627,50489,23400,2529048,9323,1533,7572,129020,51752,474,972,103,2954,2106,107371,1852,6191,-129,-1193,402,169,1276140,2414,16361,2907,19173,213617
5.057,-0.023,3893,60694,-2685,-267,54693,28504,2730733,11599,846,8264,165937,52240,571,1202,120,3965,2999,119822,1475,6873,-749,-646,578,296,1296278,2661,16243,3158,23200,270627
5.062,-0.011,3282,49165,-3154,-455,57777,19961,2817824,9154,733,8663,126754,50712,406,886,82,3845,2102,117357,1725,5894,-868,-1132,468,181,1289668,2338,16775,3749,22787,208316
5.066,0.329,2817,45852,-3799,-602,58964,17344,3066232,7494,814,10423,103491,52841,432,857,186,3563,2386,121545,1837,5394,-931,-1166,390,280,1265189,2195,16246,2323,16888,176998
5.071,0.286,2533,41931,-4206,-835,59790,14102,3174430,6779,353,11224,91911,51524,416,782,115,3438,2274,122202,1295,6222,-888,-1806,410,234,1289121,2300,16343,2671,15699,157256
5.075,0.174,2702,45284,-3674,-752,57554,15635,3153976,6675,570,10555,95472,53955,490,763,171,3783,1823,119422,1895,5494,-1954,-2499,408,418,1297257,2599,16685,2702,14484,165768
5.08,0.292,2740,45969,-3348,-971,60699,15681,2943166,7951,556,9782,110477,50799,458,815,62,4020,1918,120646,1402,5323,-1507,-1417,388,236,1304824,2258,17517,3636,20573,182818
5.085,-0.5,2572,45933,-3240,-705,61240,17828,2908671,7908,157,11174,112205,52015,487,782,117,3898,2341,119260,1756,5875,-1229,-1052,358,211,1314623,2921,17046,3163,25750,186446
5.089,-0.052,2688,44445,-3788,-513,59957,16339,2980762,8291,-8,11830,107165,51986,466,848,181,3521,2157,119395,1611,5914,-924,-939,280,233,1304763,2462,17591,3124,20612,178928
5.094,-0.082,2895,49038,-3997,-998,58060,17817,3126215,7731,24,12092,109173,51973,453,953,170,3890,2381,124374,1943,6182,-336,-1226,423,271,1264885,2776,17209,3872,19728,186654
5.098,-0.138,3448,52486,-3188,-935,54124,20802,2817718,8952,487,8836,123981,54095,420,800,101,3552,2780,122974,1260,5942,-964,-1101,469,276,1267479,2882,17090,3670,20399,209669
5.098,-0.212,3448,52486,-3188,-935,54124,20802,2817718,8952,487,8836,123981,54095,420,800,101,3552,2780,122974,1260,5942,-964,-1101,469,276,1267479,2882,17090,3670,20399,209669
5.103,0.185,3126,45498,-3161,-1185,51498,15872,2531586,7665,452,7946,107137,51571,516,937,123,3674,2275,113562,1496,5302,-673,-808,535,213,1265995,2829,16909,3072,19914,179298
5.107,0.223,3371,53017,-3432,-1143,58451,19990,2820070,9533,780,7826,128422,50984,624,1042,112,3985,2570,123473,2182,5915,-1404,-1859,408,259,1293041,2422,16704,3045,23210,214333
5.112,0.213,2949,45139,-3578,-1337,55354,16666,2849570,7749,876,9420,101076,50622,489,835,102,3543,2932,114831,1400,4889,-1594,-1716,425,230,1280131,1802,16881,2937,18220,173579
5.116,0.318,2847,45220,-3467,-962,51913,15654,2821691,7909,1255,9372,100290,49980,580,906,80,3301,2005,112797,1182,5653,-1870,-2135,393,332,1255043,2519,15706,2774,15305,171920
5.121,0.173,2334,40331,-3471,-739,48078,13491,2652623,7804,344,9353,97386,46200,465,820,159,3232,2232,110699,1921,5616,-1035,-973,378,158,1309112,2624,16880,4289,21041,161346
5.127,0.075,3774,52182,-2900,-851,50984,18737,2603006,8444,805,8408,113720,50223,490,856,46,3440,2474,108835,2188,5636,-945,-1609,401,151,1328048,2411,16402,3056,23547,196857
5.132,-0.043,3511,56245,-3045,-801,48278,20615,2600547,9493,874,8937,133722,48487,530,960,142,3419,2676,110034,1754,5569,-1383,-1185,489,295,1347084,2261,17098,2853,20207,223586
5.136,0.136,3113,49865,-2738,-674,46299,17349,2357417,8164,360,8399,122439,48614,635,1201,66,3271,2467,100290,1398,5654,-1240,-1206,448,322,1344142,2551,16889,2744,20549,200930
5.141,0.149,3837,55153,-3386,-849,55034,19654,2857397,9679,498,9204,122093,50188,583,903,98,4032,2675,112612,1540,5427,-1781,-1387,492,256,1361445,2330,16608,3848,20892,210416
5.145,0.155,3687,57730,-3356,-952,55630,20932,2932509,9796,329,8416,125452,51478,622,1009,109,3765,2669,119069,2000,5508,-1959,-1171,551,285,1361389,2193,16314,2510,22333,217597
5.15,0.13,3213,51254,-3272,-975,47771,18101,2761229,7858,971,7982,103409,47332,440,783,109,3038,2216,103843,1406,5117,-1766,-1845,367,323,1329889,1749,15740,3509,17093,183835
5.154,0.136,3692,57750,-3563,-1123,52116,20561,2897920,9396,861,9718,134850,49520,555,903,114,3521,2332,115974,2233,5608,-1738,-1419,437,309,1314158,2363,16254,2864,20265,226249
5.159,0.074,3601,56066,-3634,-923,55410,19590,2960534,9770,500,10695,138953,51745,668,1125,144,3935,2768,119404,2122,5794,-1260,-1291,504,227,1354671,2821,16660,2632,24663,227980
5.163,0.191,2998,47775,-3627,-1238,48429,14314,2775001,6980,611,9566,107250,49519,590,920,93,3498,2162,109409,1312,5239,-1695,-1175,349,363,1337792,2328,16726,3113,18160,179317
5.168,0.224,3539,52688,-4063,-1259,48859,17307,2984142,7992,260,8171,114111,52313,513,959,144,3325,2566,117853,1354,5679,-1305,-1282,505,315,1363616,2481,17002,4398,17644,195637
5.172,-0.031,3912,56972,-3514,-1216,54521,18244,2834582,9671,311,9146,139326,49328,503,1019,156,4138,2529,116740,1873,6206,-403,-938,426,241,1380593,2954,16470,3478,25650,228125
5.177,-0.09,3533,55956,-3466,-1088,52674,19960,2539863,9883,607,8487,139002,49421,579,868,100,3804,2609,107749,2338,5647,-2039,-1744,566,328,1342482,2844,16819,3930,27897,228334
5.182,-0.35,4091,65309,-3613,-1296,49765,23845,2611503,10607,213,6553,155260,48226,548,1056,99,3859,2664,113191,2147,6596,-1085,-1264,519,184,1331137,2771,17590,3507,24924,259112
5.182,-0.392,4091,65309,-3613,-1296,49765,23845,2611503,10607,213,6553,155260,48226,548,1056,99,3859,2664,113191,2147,6596,-1085,-1264,519,184,1331137,2771,17590,3507,24924,259112
5.186,0.089,4665,74123,-3354,-1206,49631,29621,2342533,11768,329,6415,175598,45687,805,1319,121,4396,3445,110456,2704,7488,-1540,-1269,665,185,1334577,2175,17100,3829,28516,295775
5.191,0.131,3346,60724,-3657,-1533,48580,25516,2529433,8492,1082,7926,113342,46891,622,1050,162,3354,3036,101918,1942,6344,-1578,-1944,732,340,1338800,1801,15968,3015,18605,211420
5.195,0.237,3839,58305,-3585,-1126,52082,22902,2702554,9030,466,8831,126905,46704,788,913,80,3796,2860,109169,1637,5722,-1595,-800,468,199,1331710,2194,18201,3262,17115,220981
5.203,0.214,2717,46993,-2975,-1200,41221,17971,1978798,8192,134,7663,120565,43484,525,1061,50,3484,3351,90068,1490,7672,-437,-1184,643,141,1296886,2107,15951,3559,19478,196438
5.211,0.077,6034,100525,-2019,-705,36387,58652,1582540,14901,709,8401,181632,42546,5839,1438,37,3721,6808,84166,2822,11976,430,1133,798,157,1335549,1877,18188,3639,21216,361744
5.223,0.232,3341,55124,-2978,-478,53342,23179,2558666,10672,262,8484,144815,50054,827,1198,130,3392,2686,105066,2136,5917,-720,-541,447,95,1305886,2604,17276,3087,19675,237131
5.231,0.167,3782,55555,-3328,-783,53178,21449,2901448,9395,199,8850,137575,52784,810,1039,178,3765,2407,113060,2340,5419,-1626,-978,610,381,1339211,2895,17296,3267,22580,227756
5.238,0.464,3448,54020,-3448,-540,53477,21016,2895105,9198,588,9874,136637,50880,670,867,135,3911,2720,115007,2547,5650,-2047,-1909,309,269,1346161,2186,17220,2948,18386,224319
5.246,0.282,4592,64043,-2293,-279,51249,26608,2816341,11032,339,9229,166069,51054,811,1031,116,3605,3189,113511,2443,5926,-2409,-1810,581,349,1366766,2844,18219,3248,20553,272344
5.253,0.37,3922,58838,-2840,-644,52540,23372,2744893,9795,1195,8783,145563,50262,820,1057,167,3690,2691,109060,2293,5431,-1256,-825,696,276,1358723,2431,17649,3358,20439,241490
5.261,0.314,3479,54480,-3128,-890,49425,22240,2641754,9137,792,7918,139357,48216,732,950,91,3320,2658,103981,1787,5103,-1372,-818,667,147,1318193,1496,17282,3070,17514,228693
5.269,0.482,3792,54042,-3395,-1096,52834,20170,2900167,9654,572,8912,132497,50389,522,915,104,3866,2521,110904,1652,5479,-1177,-1081,452,255,1308472,2299,16670,3127,20551,220155
5.276,0.443,3556,55107,-3654,-1133,52754,19245,2933243,9356,492,9290,133735,50415,556,891,191,3825,2488,108445,1764,5280,-1183,-1648,476,283,1322815,1922,17103,3899,18221,220999
5.284,0.298,3395,51095,-3670,-1167,51456,17109,2757687,8492,472,8194,118395,50374,1243,5652,19,3222,1965,105110,2242,5257,622,-54,1353,135,1353480,3034,17018,2992,20241,198486
5.291,0.356,3004,49063,-3561,-931,51949,17649,2788406,7933,1061,7927,116111,49536,476,887,72,3199,1934,100156,1396,5073,-1454,-1570,409,331,1359429,2564,16985,3220,19332,193760
5.299,0.298,2971,49771,-3593,-753,53341,17561,2891839,8011,592,8528,125737,54141,544,837,86,3538,2354,109849,1565,5524,-1896,-1055,352,299,1350246,1917,16105,3458,17376,204051
5.307,0.349,3243,52938,-3210,-1078,52764,17993,2853703,8671,-113,8779,138413,51985,642,1164,94,3717,2986,111953,2302,5470,-1080,-817,579,297,1332735,2137,16877,3836,21552,221258
5.314,0.333,3520,49167,-3933,-1381,53099,16311,2869173,8784,1037,8303,121232,51428,469,994,39,3546,2342,106444,1842,5681,-1562,-1094,568,239,1305389,2026,16941,3468,19167,199014
5.322,0.351,2711,43729,-3464,-1179,47453,14989,2790023,6614,1589,7175,102379,52506,435,814,91,3246,1603,101615,1428,5244,-1891,-1552,373,259,1297234,2171,15923,2772,13666,170422
