Age_Ma,Al_Area,Si_Area,P_Area,S_Area,Cl_Area,K_Area,Ca_Area,Ti_Area,Cr_Area,Mn_Area,Fe_Area,Rh_Area,Cu_Area,Zn_Area,Ga_Area,Br_Area,Rb_Area,Sr_Area,Y_Area,Zr_Area,Nb_Area,Mo_Area,Pb_Area,Bi_Area,Ag_Area,Cd_Area,Sn_Area,Te_Area,Ba_Area,T_Area
4.95270443,3202,51833,-2158,-427,44809,25253,2357550,9030,106,5155,124658,41509,1634,1638,116,3595,2828,113730,1768,6348,-2067,-932,617,377,1199761,2753,16056,3862,24761.0,213976
4.953838348,3651,54373,-2506,-478,47424,24481,2290623,10614,869,4441,145221,45806,517,1037,103,3571,2856,109836,2112,6002,-735,-627,445,178,1199071,1949,14506,3014,24256.0,238340
4.954405785,3162,49724,-2689,-242,53384,22163,2351926,9557,722,4038,131272,44997,734,1062,137,3656,2902,111443,1445,6319,-2010,-1301,609,350,1190462,3028,16719,3906,25461.0,215878
4.954972744,3556,53459,-3010,-439,54576,25303,2568640,10157,23,5181,133414,47984,650,975,125,4104,3235,124176,1843,6379,-1176,-1124,698,217,1201107,2627,15701,4159,26916.0,225889
4.955539703,3574,60306,-2338,-155,54013,29326,2434489,11244,707,5688,143212,45959,813,1126,96,3860,2873,118967,2137,6444,-1043,-804,770,248,1198268,2959,15075,3576,26337.0,247662
4.95610714,2881,47645,-2725,-310,58134,21738,2680931,9472,499,6641,127895,47680,1201,977,143,3648,2196,124233,1908,6310,-1559,-797,986,234,1197886,3367,16196,3796,25466.0,209631
4.956674576,2822,46918,-3068,-784,55877,20770,2656410,9334,402,6233,123424,51612,812,1165,97,3689,2918,125415,2232,6176,-1541,-548,700,192,1188426,2775,15647,2936,25502.0,203268
4.957241535,3175,45659,-2691,-283,57671,20156,2643452,8903,107,5983,123340,47271,634,1071,173,3631,3117,125306,1716,5908,-969,-873,768,176,1192333,2499,16077,3346,24591.0,201233
4.957808495,2880,45787,-3241,-551,58187,19478,2814130,8940,478,6529,117471,48310,609,1010,80,3514,2729,125031,1487,6962,-1141,-1339,594,228,1189630,2963,16241,2907,25405.0,194556
4.958375931,2516,42508,-3508,-439,58625,17844,2815791,8464,431,7728,109252,46978,517,904,130,3666,2340,126580,2197,6828,-1310,-1463,680,438,1195010,2533,15409,3133,22995.0,180584
4.95894289,2227,40314,-3548,-609,59004,16863,2896899,7711,-36,7932,99401,49884,678,831,95,3775,2249,126933,2020,5622,-1944,-925,590,284,1190537,2469,15348,4044,21153.0,166516
4.959510326,2248,39987,-3586,-565,60386,17205,2884765,8262,439,8023,98706,49792,1019,850,158,3571,1846,127888,2140,6547,-1608,-943,590,270,1193897,2965,15780,4141,20043.0,166408
4.960077286,2544,41375,-3578,-225,58795,15920,2957531,7429,325,8240,96381,50851,1492,952,77,3659,2358,127122,1547,5814,-1858,-399,708,356,1185250,2475,16077,3500,20569.0,163649
4.960644722,2550,41261,-4018,-1234,58453,16367,2996464,7542,451,8294,96510,53439,1612,932,85,3744,2291,126750,1456,5892,-1624,-153,507,267,1191971,3001,15472,4127,20866.0,164230
4.961211681,2442,41177,-3998,-760,60703,16305,3000912,7171,188,8679,98366,50844,850,1087,63,3847,2040,130327,2087,6175,-1790,-1122,485,292,1200575,2611,16007,3606,18872.0,165461
4.961779118,2232,39164,-3403,-453,61918,16788,2963725,7831,587,8736,98346,51061,1221,1255,74,3859,2355,132576,1915,5907,-1204,-695,574,246,1196846,3443,16520,3240,19196.0,164361
4.962346077,2488,39951,-3344,-606,62064,17183,2934046,6918,479,8748,99376,51312,907,1002,46,4044,1908,129474,1945,6029,-2104,-914,331,326,1201678,2639,15946,3627,19697.0,165916
